TIME;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
GEO (Labels);;;;;;;;;;;;
European Union - 27 countries (from 2020);11 445 047.9;11 212 391.3;11 348 327;12 377 851.1;12 524 664.1;12 979 930.9;13 954 132.4;14 243 667.3;13 739 927.9;12 426 326.6;15 045 040;:
Euro area – 20 countries (from 2023);:;:;:;:;:;:;:;:;:;:;:;:
Euro area - 19 countries  (2015-2022);:;:;:;:;:;:;:;:;:;:;:;:
Belgium;984 362.7;963 614.7;957 012.2;1 014 585.6;1 126 234.1;1 088 734;1 251 173;1 416 428;1 397 513;1 584 640;2 083 632;1 729 332
Bulgaria;21 879.4;18 529.1;19 574.9;23 072.8;31 520;32 976.9;34 806.7;29 867.3;28 748.6;25 844;25 686;26 457
Czechia;69 206;58 707;58 147;58 312;58 445;77 704;89 278.5;90 525.8;93 669.1;71 095.4;92 726.4;73 300.5
Denmark;155 662.3;166 283;148 980;208 590;210 570;200 133;235 937;242 068;244 997;181 967;246 912;265 889
Germany;4 309 649.4;4 218 146.4;4 231 473.9;4 336 163;4 325 665;4 467 022;4 773 359;4 842 716;4 684 570.8;4 497 805.1;5 289 724;4 938 859.1
Estonia;18 341;23 760;20 862;19 432;16 034;13 868;11 232.9;11 474.6;10 865.6;9 131.7;10 533.1;10 789.1
Ireland;113 408.7;126 833.6;127 422.8;138 202.9;148 713.5;145 768.7;163 123.2;156 264.7;144 140.8;136 802.6;155 226.6;156 941.3
Greece;81 354.5;72 191.6;67 262.4;60 324.4;62 331.9;69 949.5;69 073.6;96 889.2;105 403.4;72 990.4;108 850.4;:
Spain;611 974;593 523;580 847;593 902;594 393;639 237;742 442.5;806 518.3;815 612.4;599 930.3;782 676.9;844 756.1
France;1 765 732.5;1 753 084.7;1 741 020.6;2 361 510.1;2 380 931.3;2 401 593;2 450 326.1;2 407 878.2;2 371 614.1;1 938 349;2 278 630.1;2 139 178.3
Croatia;7 228;6 961;6 857;6 908;7 189;7 691;9 510;11 934;10 846;7 638;8 775;9 723
Italy;846 551;790 493;826 981;876 495;916 755;991 688;1 077 874;1 066 221;1 021 941;776 205;1 016 347;1 033 956
Cyprus;29 480.4;27 581;28 327.9;28 095;27 626.2;28 430;30 880.4;32 186.1;32 360.1;24 006.6;25 149.5;22 749.3
Latvia;11 571;31 460;52 473;31 439;16 809;17 922;21 203.6;24 627.7;25 865.7;19 246.8;27 062.3;20 123.4
Lithuania;10 011;14 342;15 857;13 210;14 904;14 244.6;15 064.4;16 779;17 211.5;19 819.8;19 830.1;20 740.2
Luxembourg;666 010.9;615 286.4;673 380.2;707 150;736 879.8;801 058;892 660;895 004;853 030;905 397;1 088 016;969 105
Hungary;68 860;61 902;64 166;61 970;65 783;77 534.7;87 276.6;101 411.2;95 590.2;88 872.4;125 901.2;133 831.6
Malta;16 203.9;16 492.7;16 028.5;15 602;16 405.4;15 690.3;16 194.4;17 677.1;12 209.6;13 444.2;15 998;17 551.6
Netherlands;1 614 894.7;1 563 499.7;1 620 037.6;1 727 454.8;1 712 031.3;1 831 791.8;1 865 105.5;1 840 418.8;1 703 556.1;1 591 388.6;1 807 924.4;1 553 481.8
Austria;219 448;197 543;196 459;217 785;216 621;223 421.2;227 642.8;237 700.6;228 223.4;165 013.2;194 820.2;188 182.2
Poland;68 485;74 831;77 559.9;84 386.2;92 690;107 880.3;121 303.2;134 673.1;143 109.5;111 278.6;143 385;201 957.3
Portugal;121 465;117 645;126 612;134 982;133 416;136 578;164 732;173 493;194 214;133 074.8;174 997.5;206 167.1
Romania;26 156;28 523;30 605;31 113;33 399;37 456;41 692;45 310;44 217;38 769;39 033;47 636
Slovenia;6 877;7 572;7 969;8 563;8 891;8 970;12 024.5;12 337.3;11 357.8;10 552.6;11 381.5;12 467.7
Slovakia;20 542;20 893;20 588;18 498;21 216;23 028;27 188.3;24 564.8;20 525.3;24 772.1;19 644.2;18 060.9
Finland;179 216.4;195 630.8;192 512.4;190 586.3;182 089;186 470.8;188 721.6;196 809.5;225 242.3;146 547.4;178 606.1;160 726.7
Sweden;164 618;141 365;130 405;141 887;146 287;147 214;159 129.9;158 632.4;162 743.4;132 083;154 596.2;146 498.6
Iceland;37 557.6;40 029.7;41 490.7;41 908;44 664;48 459.1;52 869.8;56 889.4;55 099.9;49 278;57 068.8;55 799.9
Liechtenstein;:;:;:;:;:;:;:;:;:;:;:;:
Norway;65 742;78 420;106 722;116 390;127 698;127 745;169 295;174 840;187 379;176 298;194 435;173 035
Switzerland;390 335.2;398 715.2;400 028.4;407 703.6;401 924.6;428 495.5;486 164.2;493 201.9;459 877;272 379.7;341 402.7;364 304.6
United Kingdom;2 419 717.6;2 428 374.6;2 369 878.6;2 406 673;2 405 225;2 511 011;2 738 784;2 748 539;2 650 232.3;:;:;:
Bosnia and Herzegovina;:;:;:;:;:;:;:;:;:;:;11 518.7;:
Montenegro;:;:;:;:;:;898.3;869;914.7;871.6;337.2;466.6;419.5
North Macedonia;:;:;:;:;2 647;2 939;2 820;3 298;3 407;2 132;3 039;2 635
Albania;:;:;:;:;:;:;:;:;:;:;:;:
Serbia;:;:;:;:;:;9 914;22 350;27 375.1;22 659.1;16 751.7;14 847.9;:
Türkiye;:;:;:;:;:;:;:;:;:;:;:;:
